,Disease,Medication,Medicaction1,Medicaction2,Medicaction1,Medicaction4
0,Fungal infection,'Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole'
1,Allergy,'Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy'
2,GERD,'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics'
3,Chronic cholestasis,'Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant'
4,Drug Reaction,'Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream'
5,Peptic ulcer disease,'Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents'
6,AIDS,'Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors'
7,Diabetes,'Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists'
8,Gastroenteritis,'Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics'
9,Bronchial Asthma,'Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics'
10,Hypertension,'Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers'
11,Migraine,'Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback'
12,Cervical spondylosis,'Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids'
13,Paralysis (brain hemorrhage),'Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy'
14,Jaundice,'IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications'
15,Malaria,'Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions'
16,Chicken pox,'Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions'
17,Dengue,'Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids'
18,Typhoid,'Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant'
19,hepatitis A,'Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant'
20,Hepatitis B,'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant'
21,Hepatitis C,'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant'
22,Hepatitis D,'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant'
23,Hepatitis E,'Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support'
24,Alcoholic hepatitis,'Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide'
25,Tuberculosis,'Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers'
26,Common Cold,'Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy'
27,Pneumonia,'Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet'
28,Dimorphic hemmorhoids(piles),'Nitroglycerin', 'Aspirin', 'Beta-blockers', 'Calcium channel blockers', 'Thrombolytic drugs'
29,Heart attack,'Compression stockings', 'Exercise', 'Elevating the legs', 'Sclerotherapy', 'Laser treatments'
30,Varicose veins,'Levothyroxine', 'Antithyroid medications', 'Beta-blockers', 'Radioactive iodine', 'Thyroid surgery'
31,Hypothyroidism,'Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids'
32,Hyperthyroidism,'Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide'
33,Hypoglycemia,'Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy'
34,Osteoarthristis,'NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery'
35,Arthritis,'Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises'
36,(vertigo) Paroymsal Positional Vertigo,'Topical treatments', 'Antibiotics', 'Oral medications', 'Hormonal treatments', 'Isotretinoin'
37,Acne,'Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments'
38,Urinary tract infection,'Antibiotics', 'Urinary analgesics', 'Phenazopyridine', 'Antispasmodics', 'Probiotics'
39,Psoriasis,'Topical treatments', 'Phototherapy', 'Systemic medications', 'Biologics', 'Coal tar'
40,Impetigo,'Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Ointments', 'Warm compresses'
